t,X
0.0,-0.00017420005248047765
0.014999688911533682,-0.0017886504177138107
0.029999377823067365,-0.0016488941159032988
0.04499906673460105,-0.004621480802848965
0.05999875564613473,-0.013157105866781982
0.07499844455766841,-0.0149809298661564
0.0899981334692021,-0.01641968415103645
0.10499782238073578,-0.029811047428418003
0.11999751129226946,-0.04708892970478973
0.13499720020380315,-0.04967394377983658
0.14999688911533682,-0.05063915044389289
0.1649965780268705,-0.05416766044136778
0.1799962669384042,-0.04872109356433674
0.19499595584993787,-0.036578898750459166
0.20999564476147156,-0.03611793342252556
0.22499533367300523,-0.026050500685136924
0.23999502258453892,-0.021517824318410317
0.2549947114960726,-0.024268381606264877
0.2699944004076063,-0.012807053455424655
0.28499408931913994,-0.0011017476563454087
0.29999377823067364,-0.0018942924613442047
0.31499346714220733,-0.0011348774584190036
0.329993156053741,-0.005114022710376198
0.3449928449652747,-0.01674337240792334
0.3599925338768084,-0.010948590331805619
0.37499222278834204,-0.010846133288334281
0.38999191169987574,-0.010189125322798365
0.40499160061140943,-0.0014638884601836377
0.4199912895229431,-0.0024265533092759917
0.4349909784344768,-0.002839991822076726
0.44999066734601045,-0.00782335218627983
0.46499035625754415,-0.013277505452479077
0.47999004516907784,-0.016708189651533534
0.49498973408061153,-0.01745779836549466
0.5099894229921452,-0.01754579645511989
0.5249891119036789,-0.019783714425751664
0.5399888008152126,-0.02844301318723852
0.5549884897267463,-0.04274145913795968
0.5699881786382799,-0.0466985834519138
0.5849878675498136,-0.046704762070640116
0.5999875564613473,-0.047049118828830894
0.614987245372881,-0.04863104933437068
0.6299869342844147,-0.048637071249769015
0.6449866231959483,-0.05254364285826574
0.659986312107482,-0.054882139336804525
0.6749860010190157,-0.05341176152852367
0.6899856899305494,-0.041074989153345065
0.7049853788420831,-0.041081337190332134
0.7199850677536168,-0.05131590255921126
0.7349847566651504,-0.058018724223386275
0.7499844455766841,-0.056661909302883506
0.7649841344882178,-0.04827780684626115
0.7799838233997515,-0.048283745355718555
0.7949835123112852,-0.05687311140909146
0.8099832012228189,-0.06100170600796162
0.8249828901343526,-0.060452825398355725
0.8399825790458862,-0.0587573999798896
0.8549822679574199,-0.05876240735742655
0.8699819568689536,-0.05505594798699143
0.8849816457804872,-0.05422843843874792
0.8999813346920209,-0.05515998150161305
0.9149810236035546,-0.056555341216941946
0.9299807125150883,-0.056560341496564304
0.944980401426622,-0.05656540414694844
0.9599800903381557,-0.05657037150798094
0.9749797792496894,-0.05298085922948981
0.9899794681612231,-0.047200395897738945
1.0049791570727566,-0.032861408987891694
1.0199788459842904,-0.029740995944282256
1.034978534895824,-0.04299843702039863
1.0499782238073578,-0.04856269290440307
1.0649779127188914,-0.04972435708046885
1.0799776016304252,-0.045823546357889544
1.0949772905419588,-0.042288539138535475
1.1099769794534926,-0.018583009682315632
1.1249766683650262,-0.018733582876109933
1.1399763572765598,-0.018739622897657515
1.1549760461880936,-0.01889861600294329
1.1699757350996272,-0.021922705014913113
1.184975424011161,-0.020484671453031345
1.1999751129226945,-0.020215510519430824
1.2149748018342283,-0.013983470124522057
1.229974490745762,-0.004258986341190596
1.2449741796572957,-0.0032921424363907548
1.2599738685688293,-0.007765489084548882
1.2749735574803631,-0.013127806691410338
1.2899732463918967,-0.016427075707419192
1.3049729353034303,-0.02718406290278308
1.319972624214964,-0.030069972548579793
1.3349723131264977,-0.030575670500652796
1.3499720020380315,-0.037609915798960225
1.364971690949565,-0.042916204831195626
1.3799713798610989,-0.04222080170116327
1.3949710687726324,-0.03868332311527245
1.4099707576841662,-0.03398304537287422
1.4249704465956998,-0.044899870197534275
1.4399701355072336,-0.044900371953102036
1.4549698244187672,-0.04825164740122412
1.4699695133303008,-0.05236596780391556
1.4849692022418346,-0.05458175936688958
1.4999688911533682,-0.052885629858981154
1.514968580064902,-0.05161692243303495
1.5299682689764356,-0.051614592295995854
1.5449679578879694,-0.05164367041890994
1.559967646799503,-0.05683227846317673
1.5749673357110368,-0.06825629202134942
1.5899670246225703,-0.0778839058279579
1.604966713534104,-0.07801889305552212
1.6199664024456377,-0.08250896966563448
1.6349660913571713,-0.08182397453705326
1.649965780268705,-0.0790806219335698
1.6649654691802387,-0.08719733847299205
1.6799651580917725,-0.09064097541010885
1.694964847003306,-0.08716344234894335
1.7099645359148399,-0.08006677003850293
1.7249642248263735,-0.07752175644835835
1.7399639137379073,-0.06761293016781833
1.7549636026494408,-0.06670145460649335
1.7699632915609744,-0.05778296418458473
1.7849629804725082,-0.06001581510569387
1.7999626693840418,-0.06463745687942668
1.8149623582955756,-0.07294081106053085
1.8299620472071092,-0.07194189275440577
1.844961736118643,-0.06802142143190537
1.8599614250301766,-0.06290044494224334
1.8749611139417104,-0.0627772953306086
1.889960802853244,-0.05574809339717146
1.9049604917647778,-0.039535442665058596
1.9199601806763114,-0.03205336559135963
1.934959869587845,-0.029635868823679523
1.9499595584993787,-0.02181083845926879
1.9649592474109123,-0.025064239482214146
1.9799589363224461,-0.015594327415297315
1.9949586252339797,-0.01094623228630287
2.0099583141455133,-0.010906761164148238
2.0249580030570473,-0.009539699800306778
2.039957691968581,-0.011549827960422032
2.0549573808801145,-0.013664366377982518
2.069957069791648,-0.010133032508815254
2.0849567587031816,-0.005469468730222693
2.0999564476147157,-0.009208388429846392
2.1149561365262493,-0.010656055268470355
2.129955825437783,-0.0011477185946853208
2.1449555143493164,-0.0034498343777553675
2.1599552032608504,-0.007764549159522849
2.174954892172384,-0.007767597679348426
2.1899545810839176,-0.007770533321420636
2.204954269995451,-0.008040237809206485
2.219953958906985,-0.007080535864496862
2.234953647818519,-0.01549356641943267
2.2499533367300524,-0.027252754838177795
2.264953025641586,-0.014636099379629952
2.2799527145531195,-0.019016928819200474
2.2949524034646536,-0.03236675522720445
2.309952092376187,-0.035537714647185914
2.3249517812877207,-0.04012245923980473
2.3399514701992543,-0.04381178772945504
2.3549511591107883,-0.04359384843005465
2.369950848022322,-0.0438485679816365
2.3849505369338555,-0.042969003826157315
2.399950225845389,-0.04123008701280939
2.4149499147569227,-0.042599797172816034
2.4299496036684567,-0.04348453008965647
2.4449492925799903,-0.041318353162377974
2.459948981491524,-0.041003842666700985
2.4749486704030574,-0.04175744744058385
2.4899483593145915,-0.05043667727965495
2.504948048226125,-0.05788492632880138
2.5199477371376586,-0.05787982806458136
2.534947426049192,-0.05790549346212459
2.5499471149607262,-0.061670770288000054
2.56494680387226,-0.0638342843428833
2.5799464927837934,-0.06382418834375747
2.594946181695327,-0.06380778801370623
2.6099458706068606,-0.05783382696734307
2.6249455595183946,-0.060535723574678735
2.639945248429928,-0.06525209922545716
2.6549449373414618,-0.07121353624089688
2.6699446262529953,-0.0739628785122638
2.6849443151645294,-0.07455401157525121
2.699944004076063,-0.07178121558475692
2.7149436929875965,-0.07320405872947022
2.72994338189913,-0.08745049375932312
2.7449430708106637,-0.0857491295348698
2.7599427597221977,-0.08848747576301919
2.7749424486337313,-0.09116704848655766
2.789942137545265,-0.09271475248072736
2.8049418264567985,-0.09342451840704602
2.8199415153683325,-0.09284139309534134
2.834941204279866,-0.09186316850335419
2.8499408931913996,-0.08482901528085207
2.8649405821029332,-0.0837225907129514
2.8799402710144673,-0.08371870844091378
2.894939959926001,-0.08560325540563662
2.9099396488375344,-0.0855925257069815
2.924939337749068,-0.07717707422547537
2.9399390266606016,-0.0607066903629464
2.9549387155721356,-0.058206420831780514
2.969938404483669,-0.056525201815805226
2.9849380933952028,-0.05416134618886126
2.9999377823067364,-0.045029800661360087
3.0149374712182704,-0.04437525002559717
3.029937160129804,-0.04246718384150794
3.0449368490413375,-0.03520308604590994
3.059936537952871,-0.02051884604287857
